title,company,expreince,location,salary,category,starter
Разработчик (1С) ERP,ОООCURATIO PHARM,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Стажёр Android-разработчик,Яндекс,Без опыта,Ташкент,,Mobile Developer,True
Project manager,Dukascopy,Опыт 3-6 лет,Ташкент,,Project Manager,False
Full-Cycle IT Recruiter,OnHires LLC,Опыт 3-6 лет,Ташкент,250 – 1 500$на руки,HR/Recruiter,False
Online Reputation Manager (ORM SERM),FOCO ELEVADO LDA,Опыт 3-6 лет,Ташкент,от1 400€на руки,Project Manager,False
Project Manager (mobile games),ТООKimikosoft,Опыт 1-3 года,Ташкент,1 500 – 2 000$на руки,Project Manager,True
Системный аналитик (middle/senior),ООО«UZUM TECHNOLOGIES».,Опыт 1-3 года,Ташкент,,Data/Analytics,True
Тестировщик (крипто-биржа),АОOctobank,Опыт 1-3 года,Ташкент,,QA/Testing,True
IT Project Manager (B2B SaaS),ОООSD Solutions,Опыт 3-6 лет,Ташкент,,Project Manager,False
Программист 1С,ОООSMART HR,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
Technical Service Support Engineer （GPON or L2/L3 switches）,FE LLC ZTE Investment,Опыт 1-3 года,Ташкент,,Engineer,True
Аналитик (Middle+),АОOctobank,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Lecturer in Cybersecurity and Entrepreneurship,ОООCENTRAL ASIAN UNIVERSITY,Опыт 1-3 года,Ташкент,,IT specialest,True
Системный аналитик,АОАхангаранцемент,Опыт 1-3 года,Ташкент,,Data/Analytics,True
Onboarding Manager / Junior Sales Manager,Bordio,Без опыта,Ташкент,500 – 700€на руки,Sales,True
Global Graduate Program - Human Resources,АОСП УЗБАТ А.О.,Без опыта,Ташкент,,Other,True
Senior Dynamics 365 CRM Consultant,Itransition,Опыт 3-6 лет,Ташкент,,Other,False
Инженер (Серверное оборудование),ОООNAGTECH,Опыт 3-6 лет,Ташкент,,Engineer,False
QA инженер,СП ООО IST TELEKOM,Опыт 3-6 лет,Ташкент,,QA/Testing,False
Sales Specialist (English),Crystalia Glass LLC,Опыт 1-3 года,Ташкент,1 400 – 5 000$до вычета налогов,Sales,True
Аналитик DWH (Middle),ОООHRBG,Опыт 3-6 лет,Ташкент,,Data/Analytics,False
Senior PostgreSQL Developer,АОCLICK,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
Sales & Business Development specialist (Uzbekistan),"Glosok Technology (Ningbo) Co., Ltd.",Опыт 1-3 года,Ташкент,,Sales,True
Country Manager (iGaming),STARTRIBE LTD,Опыт 3-6 лет,Ташкент,,Project Manager,False
Senior Product manager,ОООTYMY CA,Опыт 3-6 лет,Ташкент,,Project Manager,False
Офис-менеджер/оператор контакт-центра/секретарь,ИПKAVUN YURIY ANATOLEVICH,Без опыта,Ташкент,,Other,True
Менеджер по продукту (Серверное оборудование),ОООNAGTECH,Опыт 3-6 лет,Ташкент,,Other,False
